143 COPPIA: 6089 6091  T: 0.004992
144 COPPIA: 6131 6133  T: 0.005026
145 COPPIA: 6197 6199  T: 0.005082
146 COPPIA: 6269 6271  T: 0.005155
147 COPPIA: 6299 6301  T: 0.005184
148 COPPIA: 6359 6361  T: 0.005238
149 COPPIA: 6449 6451  T: 0.005321
150 COPPIA: 6551 6553  T: 0.005411
151 COPPIA: 6569 6571  T: 0.005430
152 COPPIA: 6659 6661  T: 0.005511
153 COPPIA: 6689 6691  T: 0.005543
154 COPPIA: 6701 6703  T: 0.005556
155 COPPIA: 6761 6763  T: 0.005615
156 COPPIA: 6779 6781  T: 0.005635
157 COPPIA: 6791 6793  T: 0.005647
158 COPPIA: 6827 6829  T: 0.005685
159 COPPIA: 6869 6871  T: 0.005730
160 COPPIA: 6947 6949  T: 0.005797
161 COPPIA: 6959 6961  T: 0.005811
162 COPPIA: 7127 7129  T: 0.005972
163 COPPIA: 7211 7213  T: 0.006054
164 COPPIA: 7307 7309  T: 0.006149
165 COPPIA: 7331 7333  T: 0.006173
166 COPPIA: 7349 7351  T: 0.006191
167 COPPIA: 7457 7459  T: 0.006300
168 COPPIA: 7487 7489  T: 0.006341
169 COPPIA: 7547 7549  T: 0.006406
170 COPPIA: 7559 7561  T: 0.006424
171 COPPIA: 7589 7591  T: 0.006451
172 COPPIA: 7757 7759  T: 0.006656
173 COPPIA: 7877 7879  T: 0.006785
174 COPPIA: 7949 7951  T: 0.006866
175 COPPIA: 8009 8011  T: 0.006926
176 COPPIA: 8087 8089  T: 0.007013
177 COPPIA: 8219 8221  T: 0.007154
178 COPPIA: 8231 8233  T: 0.007172
179 COPPIA: 8291 8293  T: 0.007246
180 COPPIA: 8387 8389  T: 0.007361
181 COPPIA: 8429 8431  T: 0.007645
182 COPPIA: 8537 8539  T: 0.007772
183 COPPIA: 8597 8599  T: 0.007842
184 COPPIA: 8627 8629  T: 0.007890
185 COPPIA: 8819 8821  T: 0.008128
186 COPPIA: 8837 8839  T: 0.008152
187 COPPIA: 8861 8863  T: 0.008175
188 COPPIA: 8969 8971  T: 0.008319
189 COPPIA: 8999 9001  T: 0.008543
190 COPPIA: 9011 9013  T: 0.008602
191 COPPIA: 9041 9043  T: 0.008645
192 COPPIA: 9239 9241  T: 0.008917
193 COPPIA: 9281 9283  T: 0.008981
194 COPPIA: 9341 9343  T: 0.009062
195 COPPIA: 9419 9421  T: 0.009169
196 COPPIA: 9431 9433  T: 0.009184
197 COPPIA: 9437 9439  T: 0.009196
198 COPPIA: 9461 9463  T: 0.009234
199 COPPIA: 9629 9631  T: 0.009434
200 COPPIA: 9677 9679  T: 0.009503
201 COPPIA: 9719 9721  T: 0.009565
202 COPPIA: 9767 9769  T: 0.009629
203 COPPIA: 9857 9859  T: 0.009753
204 COPPIA: 9929 9931  T: 0.009878
205 COPPIA: 10007 10009  T: 0.010002
206 COPPIA: 10037 10039  T: 0.010045
207 COPPIA: 10067 10069  T: 0.010078
208 COPPIA: 10091 10093  T: 0.010111
209 COPPIA: 10139 10141  T: 0.010193
210 COPPIA: 10271 10273  T: 0.010568
211 COPPIA: 10301 10303  T: 0.010653
212 COPPIA: 10331 10333  T: 0.010752
213 COPPIA: 10427 10429  T: 0.011031
214 COPPIA: 10457 10459  T: 0.011135
215 COPPIA: 10499 10501  T: 0.011266
216 COPPIA: 10529 10531  T: 0.011367
217 COPPIA: 10709 10711  T: 0.011881
218 COPPIA: 10859 10861  T: 0.012321
219 COPPIA: 10889 10891  T: 0.012419
220 COPPIA: 10937 10939  T: 0.012572
221 COPPIA: 11057 11059  T: 0.012943
222 COPPIA: 11069 11071  T: 0.012990
223 COPPIA: 11117 11119  T: 0.013132
224 COPPIA: 11159 11161  T: 0.013242
225 COPPIA: 11171 11173  T: 0.013292
226 COPPIA: 11351 11353  T: 0.013850
227 COPPIA: 11489 11491  T: 0.014318
228 COPPIA: 11549 11551  T: 0.014560
229 COPPIA: 11699 11701  T: 0.015082
230 COPPIA: 11717 11719  T: 0.015147
231 COPPIA: 11777 11779  T: 0.015423
232 COPPIA: 11831 11833  T: 0.015642
233 COPPIA: 11939 11941  T: 0.016089
234 COPPIA: 11969 11971  T: 0.016256
235 COPPIA: 12041 12043  T: 0.016682
236 COPPIA: 12071 12073  T: 0.016876
237 COPPIA: 12107 12109  T: 0.016961
238 COPPIA: 12161 12163  T: 0.017063
239 COPPIA: 12239 12241  T: 0.017280
240 COPPIA: 12251 12253  T: 0.017309
241 COPPIA: 12377 12379  T: 0.017555
242 COPPIA: 12539 12541  T: 0.017934
243 COPPIA: 12611 12613  T: 0.018443
244 COPPIA: 12821 12823  T: 0.020023
245 COPPIA: 12917 12919  T: 0.020258
246 COPPIA: 13001 13003  T: 0.020441
247 COPPIA: 13007 13009  T: 0.020469
248 COPPIA: 13217 13219  T: 0.020995
249 COPPIA: 13337 13339  T: 0.021287
250 COPPIA: 13397 13399  T: 0.021403
251 COPPIA: 13679 13681  T: 0.022119
252 COPPIA: 13691 13693  T: 0.022171
253 COPPIA: 13709 13711  T: 0.022236
254 COPPIA: 13721 13723  T: 0.022271
255 COPPIA: 13757 13759  T: 0.022355
256 COPPIA: 13829 13831  T: 0.022533
257 COPPIA: 13877 13879  T: 0.022639
258 COPPIA: 13901 13903  T: 0.022705
259 COPPIA: 13931 13933  T: 0.022809
260 COPPIA: 13997 13999  T: 0.022982
261 COPPIA: 14009 14011  T: 0.023024
262 COPPIA: 14081 14083  T: 0.023208
263 COPPIA: 14249 14251  T: 0.023633
264 COPPIA: 14321 14323  T: 0.023822
265 COPPIA: 14387 14389  T: 0.023994
266 COPPIA: 14447 14449  T: 0.024199
267 COPPIA: 14549 14551  T: 0.024501
268 COPPIA: 14561 14563  T: 0.024560
269 COPPIA: 14591 14593  T: 0.024643
270 COPPIA: 14627 14629  T: 0.024756
271 COPPIA: 14867 14869  T: 0.025409
272 COPPIA: 15137 15139  T: 0.026533
273 COPPIA: 15269 15271  T: 0.026923
274 COPPIA: 15287 15289  T: 0.026990
275 COPPIA: 15329 15331  T: 0.027151
276 COPPIA: 15359 15361  T: 0.027262
277 COPPIA: 15581 15583  T: 0.027942
278 COPPIA: 15641 15643  T: 0.028126
279 COPPIA: 15647 15649  T: 0.028164
280 COPPIA: 15731 15733  T: 0.028425
281 COPPIA: 15737 15739  T: 0.028470
282 COPPIA: 15887 15889  T: 0.028937
283 COPPIA: 15971 15973  T: 0.029221
284 COPPIA: 16061 16063  T: 0.029595
285 COPPIA: 16067 16069  T: 0.029681
286 COPPIA: 16139 16141  T: 0.030057
287 COPPIA: 16187 16189  T: 0.030260
288 COPPIA: 16229 16231  T: 0.030474
289 COPPIA: 16361 16363  T: 0.030900
290 COPPIA: 16451 16453  T: 0.031240
291 COPPIA: 16631 16633  T: 0.031782
292 COPPIA: 16649 16651  T: 0.031871
293 COPPIA: 16691 16693  T: 0.032050
294 COPPIA: 16829 16831  T: 0.032770
295 COPPIA: 16901 16903  T: 0.033023
296 COPPIA: 16979 16981  T: 0.033328
297 COPPIA: 17027 17029  T: 0.033497
298 COPPIA: 17189 17191  T: 0.034078
299 COPPIA: 17207 17209  T: 0.034148
300 COPPIA: 17291 17293  T: 0.034444
301 COPPIA: 17387 17389  T: 0.034862
302 COPPIA: 17417 17419  T: 0.034976
303 COPPIA: 17489 17491  T: 0.035257
304 COPPIA: 17579 17581  T: 0.035653
305 COPPIA: 17597 17599  T: 0.035764
306 COPPIA: 17657 17659  T: 0.035999
307 COPPIA: 17681 17683  T: 0.036090
308 COPPIA: 17747 17749  T: 0.036407
309 COPPIA: 17789 17791  T: 0.036607
310 COPPIA: 17837 17839  T: 0.036813
311 COPPIA: 17909 17911  T: 0.037193
312 COPPIA: 17921 17923  T: 0.037250
313 COPPIA: 17957 17959  T: 0.037521
314 COPPIA: 17987 17989  T: 0.037762
315 COPPIA: 18041 18043  T: 0.038533
316 COPPIA: 18047 18049  T: 0.038653
317 COPPIA: 18059 18061  T: 0.038814
318 COPPIA: 18119 18121  T: 0.039288
319 COPPIA: 18131 18133  T: 0.039469
320 COPPIA: 18251 18253  T: 0.040765
321 COPPIA: 18287 18289  T: 0.041078
322 COPPIA: 18311 18313  T: 0.041288
323 COPPIA: 18521 18523  T: 0.042190
324 COPPIA: 18539 18541  T: 0.042273
325 COPPIA: 18911 18913  T: 0.043688
326 COPPIA: 18917 18919  T: 0.043733
327 COPPIA: 19079 19081  T: 0.044794
328 COPPIA: 19139 19141  T: 0.045070
329 COPPIA: 19181 19183  T: 0.045398
330 COPPIA: 19211 19213  T: 0.045687
331 COPPIA: 19379 19381  T: 0.046876
332 COPPIA: 19421 19423  T: 0.047108
333 COPPIA: 19427 19429  T: 0.047153
334 COPPIA: 19469 19471  T: 0.047359
