143 COPPIA: 6089 6091  T: 0.007351
144 COPPIA: 6131 6133  T: 0.007418
145 COPPIA: 6197 6199  T: 0.007526
146 COPPIA: 6269 6271  T: 0.007671
147 COPPIA: 6299 6301  T: 0.007737
148 COPPIA: 6359 6361  T: 0.007845
149 COPPIA: 6449 6451  T: 0.008009
150 COPPIA: 6551 6553  T: 0.008346
151 COPPIA: 6569 6571  T: 0.008427
152 COPPIA: 6659 6661  T: 0.008700
153 COPPIA: 6689 6691  T: 0.008770
154 COPPIA: 6701 6703  T: 0.008799
155 COPPIA: 6761 6763  T: 0.008907
156 COPPIA: 6779 6781  T: 0.008978
157 COPPIA: 6791 6793  T: 0.009001
158 COPPIA: 6827 6829  T: 0.009078
159 COPPIA: 6869 6871  T: 0.009161
160 COPPIA: 6947 6949  T: 0.009296
161 COPPIA: 6959 6961  T: 0.009323
162 COPPIA: 7127 7129  T: 0.009655
163 COPPIA: 7211 7213  T: 0.009824
164 COPPIA: 7307 7309  T: 0.010023
165 COPPIA: 7331 7333  T: 0.010075
166 COPPIA: 7349 7351  T: 0.010115
167 COPPIA: 7457 7459  T: 0.010321
168 COPPIA: 7487 7489  T: 0.010395
169 COPPIA: 7547 7549  T: 0.010564
170 COPPIA: 7559 7561  T: 0.010596
171 COPPIA: 7589 7591  T: 0.010659
172 COPPIA: 7757 7759  T: 0.011294
173 COPPIA: 7877 7879  T: 0.011794
174 COPPIA: 7949 7951  T: 0.012106
175 COPPIA: 8009 8011  T: 0.012371
176 COPPIA: 8087 8089  T: 0.012733
177 COPPIA: 8219 8221  T: 0.013328
178 COPPIA: 8231 8233  T: 0.013407
179 COPPIA: 8291 8293  T: 0.013706
180 COPPIA: 8387 8389  T: 0.014160
181 COPPIA: 8429 8431  T: 0.014740
182 COPPIA: 8537 8539  T: 0.015212
183 COPPIA: 8597 8599  T: 0.015491
184 COPPIA: 8627 8629  T: 0.015670
185 COPPIA: 8819 8821  T: 0.016785
186 COPPIA: 8837 8839  T: 0.016877
187 COPPIA: 8861 8863  T: 0.016941
188 COPPIA: 8969 8971  T: 0.017232
189 COPPIA: 8999 9001  T: 0.017438
190 COPPIA: 9011 9013  T: 0.017493
191 COPPIA: 9041 9043  T: 0.017571
192 COPPIA: 9239 9241  T: 0.018130
193 COPPIA: 9281 9283  T: 0.018248
194 COPPIA: 9341 9343  T: 0.018426
195 COPPIA: 9419 9421  T: 0.018915
196 COPPIA: 9431 9433  T: 0.018976
197 COPPIA: 9437 9439  T: 0.019015
198 COPPIA: 9461 9463  T: 0.019093
199 COPPIA: 9629 9631  T: 0.019566
200 COPPIA: 9677 9679  T: 0.019721
201 COPPIA: 9719 9721  T: 0.019840
202 COPPIA: 9767 9769  T: 0.019996
203 COPPIA: 9857 9859  T: 0.020283
204 COPPIA: 9929 9931  T: 0.020518
205 COPPIA: 10007 10009  T: 0.020771
206 COPPIA: 10037 10039  T: 0.020865
207 COPPIA: 10067 10069  T: 0.020942
208 COPPIA: 10091 10093  T: 0.021017
209 COPPIA: 10139 10141  T: 0.021183
210 COPPIA: 10271 10273  T: 0.021598
211 COPPIA: 10301 10303  T: 0.021700
212 COPPIA: 10331 10333  T: 0.021809
213 COPPIA: 10427 10429  T: 0.022135
214 COPPIA: 10457 10459  T: 0.022258
215 COPPIA: 10499 10501  T: 0.022401
216 COPPIA: 10529 10531  T: 0.022607
217 COPPIA: 10709 10711  T: 0.023857
218 COPPIA: 10859 10861  T: 0.024388
219 COPPIA: 10889 10891  T: 0.024510
220 COPPIA: 10937 10939  T: 0.024698
221 COPPIA: 11057 11059  T: 0.025124
222 COPPIA: 11069 11071  T: 0.025181
223 COPPIA: 11117 11119  T: 0.025381
224 COPPIA: 11159 11161  T: 0.025554
225 COPPIA: 11171 11173  T: 0.025623
226 COPPIA: 11351 11353  T: 0.026355
227 COPPIA: 11489 11491  T: 0.026870
228 COPPIA: 11549 11551  T: 0.027112
229 COPPIA: 11699 11701  T: 0.027668
230 COPPIA: 11717 11719  T: 0.027742
231 COPPIA: 11777 11779  T: 0.027957
232 COPPIA: 11831 11833  T: 0.028202
233 COPPIA: 11939 11941  T: 0.028932
234 COPPIA: 11969 11971  T: 0.029279
235 COPPIA: 12041 12043  T: 0.030659
236 COPPIA: 12071 12073  T: 0.030900
237 COPPIA: 12107 12109  T: 0.031082
238 COPPIA: 12161 12163  T: 0.031314
239 COPPIA: 12239 12241  T: 0.031664
240 COPPIA: 12251 12253  T: 0.031741
241 COPPIA: 12377 12379  T: 0.032295
242 COPPIA: 12539 12541  T: 0.033280
243 COPPIA: 12611 12613  T: 0.034367
244 COPPIA: 12821 12823  T: 0.038382
245 COPPIA: 12917 12919  T: 0.040973
246 COPPIA: 13001 13003  T: 0.042299
247 COPPIA: 13007 13009  T: 0.042372
248 COPPIA: 13217 13219  T: 0.044478
249 COPPIA: 13337 13339  T: 0.046462
250 COPPIA: 13397 13399  T: 0.046739
251 COPPIA: 13679 13681  T: 0.048259
252 COPPIA: 13691 13693  T: 0.048486
253 COPPIA: 13709 13711  T: 0.048721
254 COPPIA: 13721 13723  T: 0.048863
255 COPPIA: 13757 13759  T: 0.049110
256 COPPIA: 13829 13831  T: 0.049551
257 COPPIA: 13877 13879  T: 0.049888
258 COPPIA: 13901 13903  T: 0.050093
259 COPPIA: 13931 13933  T: 0.050599
260 COPPIA: 13997 13999  T: 0.051010
261 COPPIA: 14009 14011  T: 0.051128
262 COPPIA: 14081 14083  T: 0.051740
263 COPPIA: 14249 14251  T: 0.052843
264 COPPIA: 14321 14323  T: 0.053447
265 COPPIA: 14387 14389  T: 0.054001
266 COPPIA: 14447 14449  T: 0.054666
267 COPPIA: 14549 14551  T: 0.055479
268 COPPIA: 14561 14563  T: 0.055642
269 COPPIA: 14591 14593  T: 0.055870
270 COPPIA: 14627 14629  T: 0.056188
271 COPPIA: 14867 14869  T: 0.057660
272 COPPIA: 15137 15139  T: 0.059521
273 COPPIA: 15269 15271  T: 0.060273
274 COPPIA: 15287 15289  T: 0.060415
275 COPPIA: 15329 15331  T: 0.060707
276 COPPIA: 15359 15361  T: 0.060912
277 COPPIA: 15581 15583  T: 0.062547
278 COPPIA: 15641 15643  T: 0.062919
279 COPPIA: 15647 15649  T: 0.062991
280 COPPIA: 15731 15733  T: 0.063509
281 COPPIA: 15737 15739  T: 0.063589
282 COPPIA: 15887 15889  T: 0.064502
283 COPPIA: 15971 15973  T: 0.065052
284 COPPIA: 16061 16063  T: 0.065545
285 COPPIA: 16067 16069  T: 0.065617
286 COPPIA: 16139 16141  T: 0.066043
287 COPPIA: 16187 16189  T: 0.066328
288 COPPIA: 16229 16231  T: 0.066577
289 COPPIA: 16361 16363  T: 0.067278
290 COPPIA: 16451 16453  T: 0.067993
291 COPPIA: 16631 16633  T: 0.069106
292 COPPIA: 16649 16651  T: 0.069235
293 COPPIA: 16691 16693  T: 0.069600
294 COPPIA: 16829 16831  T: 0.070771
